gene,functional_category,disease_class,LOEUF,pLI,betweenness_centrality,tissue_breadth,max_tpm,median_tpm_all,LOEUF_v4
MAP2K4,Generic signaling,Not classified,0.22,0.99709,0.002671,54.0,62.9933,20.62455,0.216
CREB1,Generic signaling,Not classified,0.223,0.99673,0.076145,54.0,20.6387,10.47415,0.189
CREB1,Generic signaling,Not classified,0.223,0.99673,0.076145,54.0,20.6387,10.47415,0.189
MAP2K7,Generic signaling,Not classified,0.232,0.99552,0.004845,54.0,66.0568,35.3835,0.454
MAP2K7,Generic signaling,Not classified,0.232,0.99552,0.004845,54.0,66.0568,35.3835,0.454
PRKG1,Generic signaling,Not classified,0.235,0.99938,0.010222,49.0,69.3241,3.094865,0.534
PRKG1,Generic signaling,Not classified,0.235,0.99938,0.010222,49.0,69.3241,3.094865,0.534
SRC,Generic signaling,Not classified,0.244,0.99691,0.00722,54.0,59.3292,18.4398,0.383
SRC,Generic signaling,Not classified,0.244,0.99691,0.00722,54.0,59.3292,18.4398,0.383
WNT5A,Generic signaling,Syndromic/developmental,0.269,0.98732,0.0,41.0,128.426,2.30215,0.437
WNT5A,Generic signaling,Syndromic/developmental,0.269,0.98732,0.0,41.0,128.426,2.30215,0.437
ATF2,Generic signaling,Not classified,0.283,0.99131,0.0,54.0,48.2523,19.74245,0.539
ATF2,Generic signaling,Not classified,0.283,0.99131,0.0,54.0,48.2523,19.74245,0.539
PDPK1,Generic signaling,Not classified,0.29,0.98013,0.026079,54.0,34.4443,14.2306,0.333
PDPK1,Generic signaling,Not classified,0.29,0.98013,0.026079,54.0,34.4443,14.2306,0.333
HIF1A,Generic signaling,Not classified,0.309,0.9777,0.007057,54.0,503.882,53.7147,0.353
HIF1A,Generic signaling,Not classified,0.309,0.9777,0.007057,54.0,503.882,53.7147,0.353
AKT1,Generic signaling,Other Mendelian,0.315,0.9759,0.063527,54.0,88.7644,50.03905,0.474
AKT1,Generic signaling,Other Mendelian,0.315,0.9759,0.063527,54.0,88.7644,50.03905,0.474
PRKACA,Generic signaling,Other Mendelian,0.318,0.97142,0.035949,54.0,143.526,64.73804999999999,0.338
PRKACA,Generic signaling,Other Mendelian,0.318,0.97142,0.035949,54.0,143.526,64.73804999999999,0.338
MAP2K2,Generic signaling,Other Mendelian,0.325,0.96673,0.012941,54.0,196.936,89.9879,0.858
MAP2K2,Generic signaling,Other Mendelian,0.325,0.96673,0.012941,54.0,196.936,89.9879,0.858
GSK3B,Generic signaling,Other Mendelian,0.334,0.95571,0.002297,54.0,35.7504,14.81065,0.512
GSK3B,Generic signaling,Other Mendelian,0.334,0.95571,0.002297,54.0,35.7504,14.81065,0.512
MAP3K5,Generic signaling,Not classified,0.34,0.51964,0.010876,54.0,137.493,17.52765,0.433
MAP3K5,Generic signaling,Not classified,0.34,0.51964,0.010876,54.0,137.493,17.52765,0.433
ELK1,Generic signaling,Not classified,0.341,0.93711,0.005185,54.0,80.1056,20.15495,
EGFR,Generic signaling,Syndromic/developmental,0.349,0.36837,0.031066,52.0,78.3374,14.84585,0.475
EGFR,Generic signaling,Syndromic/developmental,0.349,0.36837,0.031066,52.0,78.3374,14.84585,0.475
RAF1,Generic signaling,Other Mendelian,0.354,0.85295,0.029684,54.0,152.168,87.14685,0.353
RAF1,Generic signaling,Other Mendelian,0.354,0.85295,0.029684,54.0,152.168,87.14685,0.353
MAP2K6,Generic signaling,Not classified,0.359,0.91334,0.011405,40.0,19.0788,1.509395,0.637
MAP2K6,Generic signaling,Not classified,0.359,0.91334,0.011405,40.0,19.0788,1.509395,0.637
MAP2K1,Generic signaling,Other Mendelian,0.377,0.89669,0.012941,54.0,99.1303,33.9975,0.515
MAP2K1,Generic signaling,Other Mendelian,0.377,0.89669,0.012941,54.0,99.1303,33.9975,0.515
PRKCH,Generic signaling,Not classified,0.388,0.42878,0.017467,54.0,30.8358,5.449595,0.467
PRKCH,Generic signaling,Not classified,0.388,0.42878,0.017467,54.0,30.8358,5.449595,0.467
PRKCZ,Generic signaling,Not classified,0.4,0.541,0.04694,44.0,98.4937,5.146075,0.576
PRKCZ,Generic signaling,Not classified,0.4,0.541,0.04694,44.0,98.4937,5.146075,0.576
RAC1,Generic signaling,Not classified,0.467,0.76228,0.048575,54.0,372.568,204.103,0.25
RAC1,Generic signaling,Not classified,0.467,0.76228,0.048575,54.0,372.568,204.103,0.25
