gene,functional_category,disease_class,LOEUF,pLI,betweenness_centrality,tissue_breadth,max_tpm,median_tpm_all,tau,n_expr,max_tissue,gtex_tissue_category,kegg_primary_pathway
HIF1A,Generic signaling,Not classified,0.309,0.9777,0.007057,54.0,503.882,53.7147,0.3841756498617931,54.0,Cells - Cultured fibroblasts,Housekeeping,Other (in KEGG)
AKT1,Generic signaling,Other Mendelian,0.315,0.9759,0.063527,54.0,88.7644,50.03905,0.1543633389674148,54.0,Artery - Aorta,Housekeeping,MAPK signaling
PRKACA,Generic signaling,Other Mendelian,0.318,0.97142,0.035949,54.0,143.526,64.73804999999999,0.17527764241509636,54.0,Ovary,Housekeeping,Melanogenesis
MAP2K2,Generic signaling,Other Mendelian,0.325,0.96673,0.012941,54.0,196.936,89.9879,0.1635274355290277,54.0,Testis,Housekeeping,Melanogenesis
GSK3B,Generic signaling,Other Mendelian,0.334,0.95571,0.002297,54.0,35.7504,14.81065,0.2512743251568527,54.0,Brain - Cerebellar Hemisphere,Housekeeping,Melanogenesis
MAP3K5,Generic signaling,Not classified,0.34,0.51964,0.010876,54.0,137.493,17.52765,0.405426625609419,54.0,Adrenal Gland,Broad,MAPK signaling
ELK1,Generic signaling,Not classified,0.341,0.93711,0.005185,54.0,80.1056,20.15495,0.29393477401936274,54.0,Ovary,Housekeeping,MAPK signaling
EGFR,Generic signaling,Syndromic/developmental,0.349,0.36837,0.031066,52.0,78.3374,14.84585,0.4154228890093977,52.0,Skin - Sun Exposed (Lower leg),Broad,MAPK signaling
RAF1,Generic signaling,Other Mendelian,0.354,0.85295,0.029684,54.0,152.168,87.14685,0.14593669580962834,54.0,Muscle - Skeletal,Housekeeping,Melanogenesis
MAP2K6,Generic signaling,Not classified,0.359,0.91334,0.011405,40.0,19.0788,1.509395,0.6672062809446283,40.0,Cells - EBV-transformed lymphocytes,Immune-restricted,MAPK signaling
MAP2K1,Generic signaling,Other Mendelian,0.377,0.89669,0.012941,54.0,99.1303,33.9975,0.23173490493680973,54.0,Cells - EBV-transformed lymphocytes,Housekeeping,Melanogenesis
PRKCH,Generic signaling,Not classified,0.388,0.42878,0.017467,54.0,30.8358,5.449595,0.4180947658005437,54.0,Lung,Broad,Other (in KEGG)
PRKCZ,Generic signaling,Not classified,0.4,0.541,0.04694,44.0,98.4937,5.146075,0.6075956731188787,44.0,Brain - Cerebellar Hemisphere,Brain-restricted,Other (in KEGG)
RAC1,Generic signaling,Not classified,0.467,0.76228,0.048575,54.0,372.568,204.103,0.11761193167455786,54.0,Esophagus - Mucosa,Housekeeping,MAPK signaling
MAPK14,Generic signaling,Not classified,0.473,0.37466,0.023347,54.0,72.3676,27.40425,0.2767355928993537,54.0,Whole Blood,Housekeeping,MAPK signaling
CDC42,Generic signaling,Not classified,0.501,0.78728,0.025653,54.0,227.04,101.3925,0.18271553628142054,54.0,Cells - EBV-transformed lymphocytes,Housekeeping,MAPK signaling
RPS6KA1,Generic signaling,Not classified,0.515,0.001906,0.009025,53.0,180.978,9.792355,0.5290872949400542,53.0,Whole Blood,Broad,MAPK signaling
RAP1A,Generic signaling,Not classified,0.537,0.62227,0.024072,54.0,121.123,28.56365,0.29498630306466816,54.0,Artery - Tibial,Housekeeping,MAPK signaling
PAK1,Generic signaling,Not classified,0.563,0.001331,0.004659,54.0,161.854,28.0499,0.3474731741630341,54.0,Brain - Frontal Cortex (BA9),Housekeeping,MAPK signaling
USF1,Generic signaling,Not classified,0.585,0.023545,0.006395,54.0,170.512,56.2528,0.2250903969510073,54.0,Spleen,Housekeeping,Not in KEGG
MAPK3,Generic signaling,Not classified,0.614,0.036884,0.029841,54.0,123.148,68.5799,0.15275808736811114,54.0,Brain - Cortex,Housekeeping,Melanogenesis
FZD3,Generic signaling,Not classified,0.62,0.000436,0.001368,44.0,10.4077,2.8345700000000003,0.49635785183620224,44.0,Brain - Cerebellar Hemisphere,Broad,Melanogenesis
FOS,Generic signaling,Not classified,0.645,0.26176,0.036119,54.0,1112.22,124.9305,0.32917525788403595,54.0,Fallopian Tube,Housekeeping,MAPK signaling
MAP2K3,Generic signaling,Not classified,0.663,0.022009,0.011405,54.0,171.079,30.86735,0.3617869236021418,54.0,Whole Blood,Housekeeping,MAPK signaling
RHOA,Generic signaling,Not classified,0.664,0.60405,0.001642,54.0,994.224,375.891,0.1623970615972667,54.0,Artery - Tibial,Housekeeping,Wnt signaling
MAP4K2,Generic signaling,Not classified,0.689,0.0,0.000284,54.0,43.516,8.653815,0.39219949924746733,54.0,Brain - Cerebellar Hemisphere,Housekeeping,MAPK signaling
HRAS,Generic signaling,Other Mendelian,0.926,0.079774,0.030908,54.0,107.711,43.74565,0.21202408064411568,54.0,Skin - Not Sun Exposed (Suprapubic),Housekeeping,Melanogenesis
JUN,Generic signaling,Not classified,1.02,0.05962,0.04388,54.0,528.967,118.131,0.23117740493069475,54.0,Adipose - Visceral (Omentum),Housekeeping,MAPK signaling
TNFRSF1A,Cytokines/growth factors,Not classified,0.236,0.9949,0.079,54.0,161.99,89.53985,0.21864389001542506,54.0,Adipose - Visceral (Omentum),Housekeeping,MAPK signaling
HGF,Cytokines/growth factors,Syndromic/developmental,0.25,0.99947,0.0,36.0,16.0997,1.627255,0.6166360253956703,36.0,Lung,Other-restricted,MAPK signaling
MET,Cytokines/growth factors,Syndromic/developmental,0.305,0.96998,0.018428,41.0,21.256,4.8491,0.49628910316428393,41.0,Nerve - Tibial,Broad,MAPK signaling
TNF,Cytokines/growth factors,Not classified,0.487,0.8033,0.077171,8.0,133.014,0.253657,0.9232053495538675,8.0,Cells - EBV-transformed lymphocytes,Immune-restricted,MAPK signaling
CSF2,Cytokines/growth factors,Not classified,0.505,0.83468,0.012213,1.0,1.15807,0.0,0.982630818560471,1.0,Lung,Other-restricted,Cytokine-cytokine receptor
IL1R1,Cytokines/growth factors,Not classified,0.506,0.15126,0.011306,54.0,188.511,31.099400000000003,0.4302893651271853,54.0,Cells - Cultured fibroblasts,Broad,MAPK signaling
NGF,Cytokines/growth factors,Syndromic/developmental,0.528,0.82026,0.006879,43.0,33.4683,2.912185,0.5772093712668338,43.0,Ovary,Broad,MAPK signaling
NTRK1,Cytokines/growth factors,Syndromic/developmental,0.658,2e-06,0.006605,20.0,5.67394,0.6308929999999999,0.655030488060085,20.0,Prostate,Reproductive-restricted,MAPK signaling
IL6,Cytokines/growth factors,Not classified,0.753,0.31536,0.006022,34.0,54.435,1.45554,0.7106129202729051,34.0,Adipose - Visceral (Omentum),Other-restricted,PI3K-Akt signaling
