gene,functional_category,disease_class,LOEUF,pLI,betweenness_centrality,tissue_breadth,max_tpm,median_tpm_all,Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - Cultured fibroblasts,Cells - EBV-transformed lymphocytes,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Kidney - Medulla,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
NTRK1,Cytokines/growth factors,Syndromic/developmental,0.658,2e-06,0.006605,20.0,5.67394,0.6308929999999999,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False
IL6,Cytokines/growth factors,Not classified,0.753,0.31536,0.006022,34.0,54.435,1.45554,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,True,True,True,True,True,True,True,False,True,True,True,False
IL6R,Cytokines/growth factors,Not classified,0.813,3.2e-05,0.007851,54.0,67.242,10.070495,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
IL12A,Cytokines/growth factors,Not classified,0.815,0.04746,0.001582,23.0,7.35502,0.8184945,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False
IL10,Cytokines/growth factors,Not classified,1.039,0.005887,0.000821,12.0,8.84863,0.274526,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True
IL1A,Cytokines/growth factors,Not classified,1.309,0.00016,0.009477,5.0,18.273,0.0817587499999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
IL8,Cytokines/growth factors,Not classified,1.861,0.000274,0.000821,,,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,True,True
CFLAR,Apoptosis/cell death,Other Mendelian,0.173,0.99967,0.000446,54.0,68.0345,26.4796,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MCL1,Apoptosis/cell death,Not classified,0.29,0.96349,0.0,54.0,474.739,181.2355,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BCL2L1,Apoptosis/cell death,Not classified,0.341,0.93667,0.001714,54.0,185.28,82.8615,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
FAS,Apoptosis/cell death,Other Mendelian,0.441,0.8117,0.005041,52.0,75.4398,10.9865,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP53,Apoptosis/cell death,Other Mendelian,0.469,0.53235,0.025518,54.0,72.9493,14.6837,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CASP3,Apoptosis/cell death,Other Mendelian,0.686,0.10017,0.058861,54.0,73.5942,15.6612,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BCL2,Apoptosis/cell death,Other Mendelian,0.712,0.55903,0.002648,51.0,49.6889,4.623810000000001,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
FASLG,Apoptosis/cell death,Not classified,0.716,0.18345,0.003212,3.0,5.80301,0.1188024999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
BAX,Apoptosis/cell death,Not classified,0.751,0.31746,0.006247,54.0,212.862,36.0124,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CASP8,Apoptosis/cell death,Other Mendelian,0.811,4e-06,0.019349,40.0,26.7348,4.322735,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CASP9,Apoptosis/cell death,Not classified,0.974,7e-06,0.014932,54.0,56.4885,8.279085,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DFFB,Apoptosis/cell death,Not classified,1.08,1.1e-05,0.004969,54.0,22.1073,5.53007,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DFFA,Apoptosis/cell death,Not classified,1.161,8.7e-05,0.0,54.0,27.7305,12.9309,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BAK1,Apoptosis/cell death,Not classified,1.369,7e-06,0.013534,54.0,56.6773,14.01105,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BAD,Apoptosis/cell death,Not classified,1.533,0.004624,0.007595,54.0,70.8418,47.9799,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BBC3,Apoptosis/cell death,Not classified,1.589,0.003976,0.000238,54.0,18.8635,6.668480000000001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PMAIP1,Apoptosis/cell death,Not classified,1.848,0.11182,0.003967,37.0,188.434,1.551155,True,True,False,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True
BID,Apoptosis/cell death,Not classified,1.917,0.0,0.003171,54.0,74.762,13.7229,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MSN,Other,Not classified,0.13,0.99967,0.003457,54.0,365.937,93.5317,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PPP3CA,Other,Other Mendelian,0.158,0.99988,0.001635,54.0,183.152,22.0106,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PTGS2,Other,Not classified,0.263,0.99597,0.036779,43.0,21.8843,1.727645,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True
CDH2,Other,Not classified,0.29,0.99171,0.0,41.0,67.453,6.6237200000000005,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,False
PTGER4,Other,Not classified,0.3,0.9755,0.013502,40.0,24.3929,5.3776150000000005,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
PIAS3,Other,Not classified,0.301,0.98499,0.0,54.0,104.672,37.98775,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RDX,Other,Not classified,0.348,0.85245,0.000864,54.0,182.218,25.14315,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SPTLC2,Other,Other Mendelian,0.39,0.78035,0.009789,54.0,49.8686,13.103000000000002,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CCND1,Other,Not classified,0.41,0.89057,0.00252,53.0,202.003,22.40565,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
GUCY1A2,Other,Not classified,0.434,0.31409,0.012109,39.0,16.0488,1.581515,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,False,True,False,False,False,True,False,True,True,True,True,False
GAB1,Other,Not classified,0.439,0.18433,0.035806,54.0,41.299,8.220265000000001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
EZR,Other,Not classified,0.44,0.17989,0.000864,54.0,351.107,80.3966,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RYR1,Other,Syndromic/developmental,0.456,0.0,0.016821,22.0,423.538,0.861658,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
CDK2,Other,Not classified,0.485,0.61054,0.0,54.0,64.4682,16.6147,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PTGER3,Other,Not classified,0.579,0.37217,0.015133,28.0,73.0253,1.261975,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,True,False,True,True,True,True,False,True,False,False,True,True,False
ICAM1,Other,Not classified,0.618,0.035295,0.0,53.0,217.444,14.7022,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CDK4,Other,Not classified,0.642,0.062909,0.002808,54.0,154.326,46.039,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NOS2,Other,Not classified,0.755,0.0,0.012598,12.0,4.64759,0.5601240000000001,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False
ADCY4,Other,Not classified,0.892,0.0,0.049397,53.0,81.2412,13.6515,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
F7,Other,Not classified,0.902,1.3e-05,0.0,8.0,83.6402,0.2627035,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
CYCS,Other,Not classified,0.914,0.63647,0.042746,54.0,131.937,41.40375,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DUSP1,Other,Not classified,0.917,0.010151,0.054703,54.0,1984.27,416.499,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
F10,Other,Not classified,0.97,2e-06,0.0,45.0,75.531,6.5552,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
SPTLC1,Other,Other Mendelian,0.978,0.0,0.009789,54.0,55.6405,19.4993,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PTGER2,Other,Not classified,0.982,0.00749,0.013502,35.0,54.8665,2.17047,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
NOX1,Other,Not classified,1.064,0.0,0.023568,4.0,26.5133,0.3318355,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
SMPD1,Other,Not classified,1.085,0.0,0.016409,54.0,79.4135,36.39075,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CSF2RA,Other,Not classified,1.119,0.0,0.010672,39.0,47.509,1.49715,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True
GADD45A,Other,Not classified,1.131,0.044075,6e-05,54.0,284.633,33.7057,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
F2RL1,Other,Not classified,1.327,0.000148,0.024043,28.0,61.6712,1.152045,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,False,True,True
CDKN1A,Other,Not classified,1.375,0.001857,0.002607,54.0,417.829,92.4123,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MMP1,Other,Not classified,1.525,0.0,0.000122,6.0,51.8537,0.05628425,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
SMPD2,Other,Not classified,1.583,0.0,0.011324,54.0,149.658,12.36355,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PTGER1,Other,Not classified,1.584,0.000973,0.015133,15.0,37.0692,0.6076980000000001,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False
TPSAB1,Other,Not classified,1.95,0.0,0.0,36.0,92.6011,3.47465,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False
