feature,label,n_peripheral,n_core,median_peripheral,median_core,mw_U,mw_p,rank_biserial_r,mw_p_bh
tau,tau (tissue specificity),20,24,0.5670263305616445,0.27113557940631805,369.0,0.0024554825951132995,-0.5375000000000001,0.019643860760906396
skin_z,skin z-score,19,24,1.0192431463966727,0.6474603052154762,266.0,0.35909418257877446,-0.16666666666666674,0.6892454132618724
skin_rank,skin rank (1=highest),19,24,9.0,17.0,200.5,0.5081911617844653,0.12061403508771928,0.6892454132618724
LOEUF,LOEUF,21,24,0.856,0.46799999999999997,340.0,0.046507333647357756,-0.3492063492063493,0.124019556392954
pbs1_african,PBS African,19,24,0.0778150470850092,0.10654331177896356,134.0,0.022218173830795638,0.4122807017543859,0.08887269532318255
pbs3_melanesian,PBS Melanesian,19,24,0.1122389024059583,0.09189996135430645,255.0,0.5169340599464043,-0.11842105263157898,0.6892454132618724
pi_african,pi African,19,24,0.0007475514205425,0.0008712962670851,210.0,0.6686682373035735,0.07894736842105265,0.764192271204084
pi_melanesian,pi Melanesian,19,24,0.000541564523938,0.00057131795239065,219.0,0.8353271204290181,0.03947368421052633,0.8353271204290181
