gene,BetweennessCentrality,LOEUF,pLI,functional_category,disease_class,kegg_functional_category,n_kegg_pathways,in_kegg_melanogenesis
PRKACA,0.03594884,0.318,0.97142,Generic signaling,Other Mendelian,Shared melanogenesis signaling,72,True
MAP2K2,0.01294072,0.325,0.96673,Generic signaling,Other Mendelian,Shared melanogenesis signaling,79,True
GSK3B,0.00229721,0.334,0.95571,Generic signaling,Other Mendelian,Shared melanogenesis signaling,48,True
MAP3K5,0.01087563,0.34,0.51964,Generic signaling,Not classified,Pleiotropic signaling,20,False
ELK1,0.00518493,0.341,0.93711,Generic signaling,Not classified,Specialized/other,15,False
EGFR,0.03106565,0.349,0.36837,Generic signaling,Syndromic/developmental,Pleiotropic signaling,50,False
RAF1,0.02968372,0.354,0.85295,Generic signaling,Other Mendelian,Shared melanogenesis signaling,83,True
MAP2K6,0.01140463,0.359,0.91334,Generic signaling,Not classified,Pleiotropic signaling,24,False
MAP2K1,0.01294072,0.377,0.89669,Generic signaling,Other Mendelian,Shared melanogenesis signaling,91,True
PRKCH,0.01746697,0.388,0.42878,Generic signaling,Not classified,Specialized/other,2,False
PRKCZ,0.04693966,0.4,0.541,Generic signaling,Not classified,Pleiotropic signaling,16,False
RAC1,0.04857548,0.467,0.76228,Generic signaling,Not classified,Pleiotropic signaling,55,False
MAPK14,0.02334748,0.473,0.37466,Generic signaling,Not classified,Pleiotropic signaling,64,False
CDC42,0.02565266,0.501,0.78728,Generic signaling,Not classified,Pleiotropic signaling,33,False
RPS6KA1,0.00902526,0.515,0.0019056,Generic signaling,Not classified,Specialized/other,10,False
RAP1A,0.02407249,0.537,0.62227,Generic signaling,Not classified,Pleiotropic signaling,17,False
PAK1,0.00465923,0.563,0.0013306,Generic signaling,Not classified,Pleiotropic signaling,20,False
USF1,0.00639475,0.585,0.023545,Generic signaling,Not classified,Specialized/other,0,False
MAPK3,0.0298414,0.614,0.036884,Generic signaling,Not classified,Shared melanogenesis signaling,119,True
FZD3,0.00136825,0.62,0.00043561,Generic signaling,Not classified,Shared melanogenesis signaling,17,True
FOS,0.03611939,0.645,0.26176,Generic signaling,Not classified,Pleiotropic signaling,45,False
MAP2K3,0.01140463,0.663,0.022009,Generic signaling,Not classified,Pleiotropic signaling,21,False
RHOA,0.00164189,0.664,0.60405,Generic signaling,Not classified,Pleiotropic signaling,43,False
MAP4K2,0.00028431,0.689,1.5422e-11,Generic signaling,Not classified,Specialized/other,1,False
HRAS,0.03090794,0.926,0.079774,Generic signaling,Other Mendelian,Shared melanogenesis signaling,84,True
JUN,0.04388001,1.02,0.05962,Generic signaling,Not classified,Pleiotropic signaling,56,False
MSN,0.00345662,0.13,0.99967,Other,Not classified,Specialized/other,6,False
PPP3CA,0.00163469,0.158,0.99988,Other,Other Mendelian,Pleiotropic signaling,33,False
PTGS2,0.03677893,0.263,0.99597,Other,Not classified,Pleiotropic signaling,23,False
CDH2,0.0,0.29,0.99171,Other,Not classified,Specialized/other,3,False
PTGER4,0.01350242,0.3,0.9755,Other,Not classified,Specialized/other,7,False
PIAS3,0.0,0.301,0.98499,Other,Not classified,Specialized/other,2,False
RDX,0.00086415,0.348,0.85245,Other,Not classified,Specialized/other,5,False
SPTLC2,0.00978948,0.39,0.78035,Other,Other Mendelian,Specialized/other,4,False
CCND1,0.00252045,0.41,0.89057,Other,Not classified,Pleiotropic signaling,49,False
GUCY1A2,0.01210855,0.434,0.31409,Other,Not classified,Specialized/other,11,False
GAB1,0.03580637,0.439,0.18433,Other,Not classified,Specialized/other,10,False
EZR,0.00086415,0.44,0.17989,Other,Not classified,Specialized/other,8,False
RYR1,0.01682077,0.456,1.5944e-29,Other,Syndromic/developmental,Specialized/other,8,False
CDK2,0.0,0.485,0.61054,Other,Not classified,Pleiotropic signaling,19,False
PTGER3,0.01513286,0.579,0.37217,Other,Not classified,Specialized/other,6,False
ICAM1,0.0,0.618,0.035295,Other,Not classified,Pleiotropic signaling,19,False
CDK4,0.0028085,0.642,0.062909,Other,Not classified,Pleiotropic signaling,28,False
NOS2,0.01259824,0.755,4.0277e-15,Other,Not classified,Pleiotropic signaling,19,False
ADCY4,0.04939699,0.892,1.0791e-18,Other,Not classified,Shared melanogenesis signaling,52,True
F7,0.0,0.902,1.349e-05,Other,Not classified,Specialized/other,1,False
CYCS,0.04274614,0.914,0.63647,Other,Not classified,Pleiotropic signaling,34,False
DUSP1,0.05470344,0.917,0.010151,Other,Not classified,Specialized/other,4,False
F10,0.0,0.97,2.3473e-06,Other,Not classified,Specialized/other,1,False
SPTLC1,0.00978948,0.978,4.1945e-11,Other,Other Mendelian,Specialized/other,4,False
PTGER2,0.01350242,0.982,0.0074901,Other,Not classified,Specialized/other,7,False
NOX1,0.02356826,1.064,8.6564e-08,Other,Not classified,Specialized/other,7,False
SMPD1,0.0164086,1.085,3.8932e-10,Other,Not classified,Specialized/other,5,False
CSF2RA,0.01067231,1.119,2.3956e-10,Other,Not classified,Specialized/other,4,False
GADD45A,6.001e-05,1.131,0.044075,Other,Not classified,Pleiotropic signaling,23,False
