gene,centrality_inv,kegg_inv,tau_pct,skin_top_inv,skin_z_pct,loeuf_pct,canonical,composite,cluster
OCA2,0.7945736434108527,0.9689922480620154,0.828125,0.8464566929133859,0.9212598425196851,0.7209302325581395,True,0.846722943244013,1
DCT,0.7674418604651163,0.8488372093023255,0.9140625,0.9566929133858267,0.984251968503937,0.8604651162790697,True,0.8886252613227126,1
PMEL,0.937984496124031,0.9689922480620154,0.875,0.9566929133858267,0.968503937007874,0.8682170542635659,True,0.9292317748072189,1
TYRP1,0.8449612403100775,0.8488372093023255,0.9296875,0.9566929133858267,0.9763779527559056,0.9612403100775194,True,0.9196328543052757,1
MLANA,0.7945736434108527,0.9689922480620154,0.953125,0.9566929133858267,0.9921259842519685,0.9844961240310077,True,0.9416676521902785,1
TYR,0.2325581395348837,0.8488372093023255,0.9921875,0.9566929133858267,1.0,0.9922480620155039,True,0.8370873040397567,1
MC1R,0.33333333333333337,0.8488372093023255,0.671875,0.49606299212598426,0.4015748031496063,1.0,True,0.6252805563185416,3
TFAP2A,0.15503875968992253,0.9689922480620154,0.8828125,0.9566929133858267,0.9606299212598425,0.17829457364341086,True,0.6837434860068364,2
KIT,0.03875968992248058,0.6007751937984496,0.59375,0.8070866141732284,0.8188976377952756,0.25193798449612403,True,0.5185345200309263,2
MITF,0.007751937984496138,0.7093023255813953,0.703125,0.594488188976378,0.4881889763779528,0.26356589147286824,True,0.46107038673218176,2
KITLG,0.06201550387596899,0.6705426356589148,0.640625,0.25196850393700787,0.3228346456692913,0.40310077519379844,True,0.3918478440558302,3
PAX3,0.937984496124031,0.9147286821705426,0.921875,0.8464566929133859,0.9291338582677166,0.4728682170542636,True,0.8371744910883233,1
EDNRB,0.054263565891472854,0.7441860465116279,0.4296875,0.18110236220472442,0.25196850393700787,0.5658914728682171,True,0.37118324190217505,3
EDN1,0.12403100775193798,0.5775193798449613,0.578125,0.7598425196850394,0.6614173228346457,0.5968992248062015,True,0.5496390758204642,2
PRKCB,0.10077519379844957,0.07751937984496127,0.734375,0.3110236220472441,0.23622047244094488,0.007751937984496124,False,0.24461093435268266,3
STAT3,0.4418604651162791,0.2945736434108527,0.1015625,0.36220472440944884,0.5275590551181102,0.015503875968992248,False,0.2905440440039472,4
PIK3CA,0.09302325581395354,0.015503875968992276,0.296875,0.4645669291338582,0.5826771653543307,0.023255813953488372,False,0.24598367337077054,4
CTNNB1,0.6589147286821706,0.2713178294573644,0.1328125,0.3976377952755905,0.5039370078740157,0.031007751937984496,True,0.332604602204521,4
NFKB1,0.0,0.06201550387596899,0.46875,0.6456692913385826,0.6456692913385826,0.046511627906976744,False,0.3114359524100185,4
PRKCD,0.06976744186046513,0.5155038759689923,0.390625,0.6614173228346456,0.6771653543307087,0.06201550387596899,False,0.3960824164784635,4
