branch,predictor,n,spearman_rho,spearman_p,adj_beta,adj_se,adj_ci_lo,adj_ci_hi,adj_p,perm_p,vif,direction
AFR,tau,123,-0.2337854134872976,0.009254650592674777,-6.889885458385459,2.588367813836718,-12.015112246788664,-1.7646586699822544,0.008844902449787544,0.011198880111988802,1.0353806475664948,broadly-expressed genes higher
AFR,betweenness_centrality,124,0.1368155669178093,0.12971707835154658,2.1358725593676566,2.596386155242962,-3.0047913327329803,7.276536451468294,0.4123484919941847,0.43005699430056993,1.0033779038152792,central genes higher
AFR,kegg_log1p,124,0.09648444211537181,0.2864176050925101,2.066301139087119,2.601561442637689,-3.084609461881378,7.217211740055616,0.4286153748721787,0.42675732426757323,1.0069988497501916,more-pathway genes higher
AFR,LOEUF,124,-0.0675699066865138,0.4558733983555808,-0.5540329621467208,3.02285120190531,-6.539067966839043,5.431002042545601,0.8548863993412006,0.8572142785721428,1.3528161876099358,more-constrained genes higher
AFR,tissue_breadth,123,0.27333927481507736,0.0022207572634773015,7.884057958184263,2.571840226449347,2.7915574435249226,12.976558472843603,0.0026891995723517833,0.0028997100289971,1.040943885577383,broadly-expressed genes higher
MEL,tau,123,0.1430946058588197,0.11435236691491334,5.282353298277435,2.635139928660277,0.06451305109047212,10.500193545464398,0.04727797254335728,0.047495250474952504,1.0353806475664948,tissue-specific genes higher
MEL,betweenness_centrality,124,-0.038153767353196234,0.6739648588411085,-1.1254349685817737,2.6139187304865166,-6.300812139486521,4.049942202322972,0.6675645131570926,0.6797320267973203,1.0033779038152792,peripheral genes higher
MEL,kegg_log1p,124,-0.05927413197808547,0.513150884936006,-1.7074870160614677,2.616013264718767,-6.887011218977133,3.4720371868541977,0.515194433855117,0.5266473352664733,1.0069988497501916,fewer-pathway genes higher
MEL,LOEUF,124,0.038153055975046875,0.6739705916996318,1.8489799302188237,3.0327935658794254,-4.155740263204246,7.853700123641893,0.543238197080607,0.5522447755224478,1.3528161876099358,less-constrained genes higher
MEL,tissue_breadth,123,-0.17452902810086973,0.05351986534925682,-6.178812168496066,2.626060385329925,-11.378674013056315,-0.978950323935817,0.020269399351328484,0.0206979302069793,1.040943885577383,tissue-restricted genes higher
EUR,tau,123,-0.015499427303981432,0.8648905720326175,-0.9756945411147872,2.6681352302036,-6.258868780811344,4.307479698581769,0.7152500635652935,0.7133286671332867,1.0353806475664948,broadly-expressed genes higher
EUR,betweenness_centrality,124,-0.039971160013975535,0.659380686696909,-3.469731491285112,2.606015319239187,-8.6294604579574,1.6899974753871763,0.1855707522194899,0.19318068193180682,1.0033779038152792,peripheral genes higher
EUR,kegg_log1p,124,-0.05441800392846853,0.5483188618083955,-1.681337965337273,2.6254435667200657,-6.8795335099144195,3.516857579239873,0.5231325795448547,0.528047195280472,1.0069988497501916,fewer-pathway genes higher
EUR,LOEUF,124,0.10733948730339897,0.23538217933956918,4.470564575087947,3.0207925364408967,-1.5103944152574904,10.451523565433384,0.14151225511738671,0.14508549145085492,1.3528161876099358,less-constrained genes higher
EUR,tissue_breadth,123,0.02133559598848658,0.8148034449014787,0.61151971209437,2.6762094411919195,-4.687642271782646,5.910681695971385,0.8196480581376007,0.8144185581441856,1.040943885577383,broadly-expressed genes higher
SAS,tau,123,0.01240179335377629,0.8917079179993189,-0.15981513293086108,2.63870879852718,-5.384722098900371,5.0650918330386485,0.9518067240873646,0.9556044395560443,1.0353806475664948,broadly-expressed genes higher
SAS,betweenness_centrality,124,-0.12828196495649144,0.15563855985605346,-4.924134343028078,2.548242366098505,-9.969476883185727,0.12120819712957065,0.05567124468655926,0.052594740525947405,1.0033779038152792,peripheral genes higher
SAS,kegg_log1p,124,-0.011741900856170951,0.8970154262279499,-0.1163896897159914,2.5922284249082552,-5.248821565110809,5.016042185678826,0.9642620680051288,0.9618038196180382,1.0069988497501916,fewer-pathway genes higher
SAS,LOEUF,124,0.05888389410682908,0.5159334819043695,4.1140382020773725,2.9810024785128975,-1.7881392427564267,10.01621564691117,0.17012608156543305,0.16918308169183083,1.3528161876099358,less-constrained genes higher
SAS,tissue_breadth,123,-0.01402522093096394,0.8776360825675051,-0.4228578449284384,2.645545175762155,-5.661301520616335,4.815585830759457,0.8732799176439451,0.8741125887411259,1.040943885577383,tissue-restricted genes higher
